weight,smokes
1.0853482731060538,"[1, 0]"
-1.0897047136431215,"[1, 0]"
-0.7413071329489384,"[1, 0]"
1.0102388303218055,"[0, 1]"
-0.9195530059398425,"[1, 0]"
-1.196582957966259,"[1, 0]"
-1.1003164688926457,"[0, 1]"
-1.1190930373230312,"[0, 1]"
-1.1067104632096154,"[1, 0]"
-0.7880593255122538,"[1, 0]"
0.9133388092664548,"[0, 1]"
-1.1706913134884303,"[0, 1]"
0.17054335918403904,"[1, 0]"
0.7259680407901721,"[1, 0]"
-0.9670333106859007,"[1, 0]"
0.410197749887086,"[0, 1]"
-0.7845214655516213,"[1, 0]"
-1.089701305201149,"[0, 1]"
-1.244518468363982,"[1, 0]"
0.24428558394162508,"[0, 1]"
1.4807979750356577,"[1, 0]"
1.7498690560779584,"[1, 0]"
-0.3551116072901516,"[1, 0]"
1.215543748621839,"[1, 0]"
0.2917343536051338,"[1, 0]"
-0.641122705129006,"[0, 1]"
-1.0178343678642026,"[1, 0]"
0.6605995684558383,"[0, 1]"
-1.2337604765249774,"[1, 0]"
-1.2693783492347892,"[1, 0]"
-0.9137736239721056,"[1, 0]"
-0.10624635510784423,"[1, 0]"
-0.9605252371944997,"[1, 0]"
-1.355208255274676,"[1, 0]"
-0.3663084296164184,"[1, 0]"
-1.1186825008936594,"[1, 0]"
0.8847076640080516,"[1, 0]"
-0.8461734484777926,"[0, 1]"
0.06939664479552772,"[1, 0]"
-0.7860517525296078,"[1, 0]"
-1.4201947806061956,"[0, 1]"
1.3309575248983854,"[0, 1]"
-0.7355042621698001,"[1, 0]"
0.6026187912159874,"[1, 0]"
-1.2993428817106338,"[0, 1]"
-1.1430221285636055,"[1, 0]"
1.3228809925887475,"[0, 1]"
-1.0923664823161008,"[0, 1]"
-1.262162537925574,"[1, 0]"
-0.8704093817476656,"[1, 0]"
1.0715189312837472,"[1, 0]"
-1.0126539535787487,"[1, 0]"
1.527249711050647,"[1, 0]"
-1.078822181108324,"[1, 0]"
1.1012275117655492,"[1, 0]"
0.5429622699060529,"[0, 1]"
-0.8642728960904765,"[0, 1]"
0.9166728885032944,"[1, 0]"
0.5670990713457754,"[1, 0]"
1.0566873381217265,"[1, 0]"
1.2567349385511128,"[1, 0]"
0.051349318567916524,"[1, 0]"
-1.2495492794559329,"[1, 0]"
-0.8729935526360413,"[1, 0]"
0.5753446155004711,"[1, 0]"
0.6550726896142209,"[1, 0]"
0.4340575028180654,"[0, 1]"
1.4303164522439302,"[0, 1]"
-0.965180054401407,"[1, 0]"
0.49032695720088276,"[1, 0]"
0.24762567552761885,"[1, 0]"
-1.4624019152814662,"[1, 0]"
-1.1968727660885705,"[1, 0]"
1.686785263759986,"[0, 1]"
-1.1517065174279508,"[1, 0]"
0.12817086674272254,"[0, 1]"
0.9001720686212429,"[0, 1]"
0.7391591635841617,"[1, 0]"
-1.2292940642042036,"[1, 0]"
0.7612016134145728,"[1, 0]"
0.9603126228901168,"[1, 0]"
-1.6514200878145515,"[0, 1]"
-1.097550824562317,"[1, 0]"
-0.7477741475423128,"[1, 0]"
-0.9984936717171645,"[1, 0]"
1.1216940333847025,"[0, 1]"
0.9643324773788104,"[0, 1]"
0.6262840593657182,"[1, 0]"
1.0837916805610441,"[1, 0]"
